((22,25),(2,6)); 373
((22,25),(2,7)); 394
((22,25),(2,8)); 350
((22,25),(2,9)); 369
((22,25),(2,20)); 91
((22,25),(2,21)); 83
((22,25),(3,4)); 375
((22,25),(3,5)); 372
((22,25),(3,6)); 375
((22,25),(3,7)); 379
((22,25),(3,8)); 350
((22,25),(3,9)); 387
((22,25),(3,20)); 97
((22,25),(3,21)); 86
((22,25),(4,5)); 394
((22,25),(4,6)); 375
((22,25),(4,7)); 395
((22,25),(4,8)); 349
((22,25),(4,9)); 373
((22,25),(4,20)); 93
((22,25),(4,21)); 82
((22,25),(5,6)); 373
((22,25),(5,7)); 397
((22,25),(5,8)); 355
((22,25),(5,9)); 372
((22,25),(5,20)); 99
((22,25),(5,21)); 86
((22,25),(6,7)); 376
((22,25),(6,8)); 352
((22,25),(6,9)); 373
((22,25),(6,20)); 95
((22,25),(6,21)); 85
((22,25),(7,8)); 351
((22,25),(7,9)); 377
((22,25),(7,20)); 94
((22,25),(7,21)); 85
((22,25),(8,9)); 345
((22,25),(8,20)); 96
((22,25),(8,21)); 84
((22,25),(9,20)); 93
((22,25),(9,21)); 84
((22,25),(20,21)); 354
((22,10),(23,24)); 93
((22,10),(23,25)); 209
((22,10),(23,11)); 12
((22,10),(23,12)); 14
((22,10),(23,13)); 9
((22,10),(23,14)); 178
((22,10),(23,15)); 85
((22,10),(23,16)); 97
((22,10),(23,17)); 331
((22,10),(23,18)); 76
((22,10),(23,19)); 303
((22,10),(23,0)); 8
((22,10),(23,1)); 11
((22,10),(23,2)); 12
((22,10),(23,3)); 11
((22,10),(23,4)); 11
((22,10),(23,5)); 14
((22,10),(23,6)); 11
((22,10),(23,7)); 10
((22,10),(23,8)); 13
((22,10),(23,9)); 11
((22,10),(23,20)); 92
((22,10),(23,21)); 79
((22,10),(24,25)); 84
((22,10),(24,11)); 15
((22,10),(24,12)); 13
((22,10),(24,13)); 11
((22,10),(24,14)); 70
((22,10),(24,15)); 391
((22,10),(24,16)); 377
((22,10),(24,17)); 91
((22,10),(24,18)); 199
((22,10),(24,19)); 88
((22,10),(24,0)); 11
((22,10),(24,1)); 13
((22,10),(24,2)); 14
((22,10),(24,3)); 14
((22,10),(24,4)); 13
((22,10),(24,5)); 16
((22,10),(24,6)); 13
((22,10),(24,7)); 12
((22,10),(24,8)); 13
((22,10),(24,9)); 13
((22,10),(24,20)); 163
((22,10),(24,21)); 224
((22,10),(25,11)); 7
